source_time_utc,frequency_hz,captured_utc,source,status
2026-06-14T17:44:51Z,50.126,2026-06-14T17:44:51Z,Elexon,ok
2026-06-14T19:00:53Z,50.013,2026-06-14T19:00:53Z,Elexon,ok
2026-06-14T19:00:54Z,50.126,2026-06-14T19:00:54Z,Elexon,ok
2026-06-14T20:24:07Z,50.126,2026-06-14T20:24:07Z,Elexon,ok
2026-06-14T21:50:24Z,50.126,2026-06-14T21:50:24Z,Elexon,ok
2026-06-14T22:56:34Z,50.126,2026-06-14T22:56:34Z,Elexon,ok
2026-06-15T00:13:59Z,49.944,2026-06-15T00:13:59Z,Elexon,ok
2026-06-15T05:30:15Z,49.944,2026-06-15T05:30:15Z,Elexon,ok
2026-06-15T11:33:29Z,49.944,2026-06-15T11:33:29Z,Elexon,ok
2026-06-15T16:31:03Z,49.944,2026-06-15T16:31:03Z,Elexon,ok
