source_time_utc,frequency_hz,captured_utc,source,status
2026-06-14T10:16:27Z,50.056,2026-06-14T10:16:27Z,Elexon,ok
2026-06-14T10:16:28Z,50.126,2026-06-14T10:16:28Z,Elexon,ok
2026-06-14T12:16:23Z,50.126,2026-06-14T12:16:23Z,Elexon,ok
2026-06-14T14:30:04Z,50.126,2026-06-14T14:30:04Z,Elexon,ok
2026-06-14T16:05:56Z,50.126,2026-06-14T16:05:56Z,Elexon,ok
2026-06-14T17:40:10Z,50.126,2026-06-14T17:40:10Z,Elexon,ok
2026-06-14T18:54:10Z,50.126,2026-06-14T18:54:10Z,Elexon,ok
2026-06-14T20:12:37Z,50.126,2026-06-14T20:12:37Z,Elexon,ok
2026-06-14T21:38:10Z,50.126,2026-06-14T21:38:10Z,Elexon,ok
2026-06-14T22:47:59Z,50.126,2026-06-14T22:47:59Z,Elexon,ok
2026-06-14T23:53:27Z,50.126,2026-06-14T23:53:27Z,Elexon,ok
2026-06-15T02:09:04Z,49.944,2026-06-15T02:09:04Z,Elexon,ok
2026-06-15T07:35:00Z,49.944,2026-06-15T07:35:00Z,Elexon,ok
