capturedAtUTC,priceTimeUTC,priceGBPperMWh,carbonGperKWh,carbonIndex,source
2026-05-30T00:01:10.414990Z,2026-05-29T23:30:00Z,107.54,,moderate,Elexon BMRS Market Index Data
2026-06-03T12:55:08.005494Z,2026-06-03T12:30:00Z,21.71,46,low,Elexon BMRS Market Index Data
2026-06-03T18:00:43.798915Z,2026-06-03T17:30:00Z,114.5,60,low,Elexon BMRS Market Index Data
2026-06-03T21:28:46.516979Z,2026-06-03T21:00:00Z,101.29,62,low,Elexon BMRS Market Index Data
2026-06-03T23:19:44.578983Z,2026-06-03T23:00:00Z,46.82,70,low,Elexon BMRS Market Index Data
2026-06-04T02:03:25.593367Z,2026-06-04T01:30:00Z,15.62,71,low,Elexon BMRS Market Index Data
2026-06-04T06:54:21.915465Z,2026-06-04T06:30:00Z,66.98,79,low,Elexon BMRS Market Index Data
2026-06-04T10:40:54.115743Z,2026-06-04T10:30:00Z,0.0,,low,Elexon BMRS Market Index Data
2026-06-04T13:50:15.015313Z,2026-06-04T13:30:00Z,-22.34,56,low,Elexon BMRS Market Index Data
2026-06-04T16:48:29.119349Z,2026-06-04T16:30:00Z,87.15,58,low,Elexon BMRS Market Index Data
2026-06-04T19:11:25.162664Z,2026-06-04T19:00:00Z,0.0,76,low,Elexon BMRS Market Index Data
2026-06-04T21:09:40.890585Z,2026-06-04T21:00:00Z,0.0,79,low,Elexon BMRS Market Index Data
2026-06-04T22:46:50.029365Z,2026-06-04T22:30:00Z,70.46,65,low,Elexon BMRS Market Index Data
2026-06-04T23:57:45.400235Z,2026-06-04T23:30:00Z,65.88,66,low,Elexon BMRS Market Index Data
2026-06-05T04:41:46.302127Z,2026-06-05T04:30:00Z,0.0,67,low,Elexon BMRS Market Index Data
2026-06-05T08:35:16.772421Z,2026-06-05T08:00:00Z,111.62,79,low,Elexon BMRS Market Index Data
2026-06-05T11:48:28.411771Z,2026-06-05T11:30:00Z,104.75,78,low,Elexon BMRS Market Index Data
2026-06-05T14:20:24.761642Z,2026-06-05T14:00:00Z,91.54,83,low,Elexon BMRS Market Index Data
2026-06-05T16:58:49.542759Z,2026-06-05T16:30:00Z,112.04,139,moderate,Elexon BMRS Market Index Data
2026-06-05T19:04:16.711343Z,2026-06-05T18:30:00Z,121.86,169,moderate,Elexon BMRS Market Index Data
2026-06-05T20:55:03.343550Z,2026-06-05T20:30:00Z,112.98,175,high,Elexon BMRS Market Index Data
2026-06-05T22:20:32.853896Z,2026-06-05T22:00:00Z,100.43,153,moderate,Elexon BMRS Market Index Data
2026-06-05T23:44:35.842890Z,2026-06-05T23:30:00Z,100.06,140,moderate,Elexon BMRS Market Index Data
2026-06-06T01:47:52.623391Z,2026-06-06T01:30:00Z,103.28,125,moderate,Elexon BMRS Market Index Data
2026-06-06T05:43:57.381393Z,2026-06-06T05:30:00Z,83.13,68,low,Elexon BMRS Market Index Data
2026-06-06T08:16:57.028560Z,2026-06-06T08:00:00Z,47.83,64,low,Elexon BMRS Market Index Data
